zone_etude;requete;nuage;tuiles;bands
Barcelonnette;platformname:Sentinel-2 AND footprint:"Intersects(POLYGON((6.55 44.31, 6.55 44.47, 6.86 44.47, 6.86 44.31, 6.55 44.31)))";30;;
Barcelonnette;platformname:Sentinel-1 AND footprint:"Intersects(POLYGON((6.55 44.31, 6.55 44.47, 6.86 44.47, 6.86 44.31, 6.55 44.31)))" AND beginposition:[2016-02-15T00:00:00.000Z TO NOW];;;
